Author_Name,Author_ID
Ahmad Almaghrebi,66925799.0
Kevin James,2069468721.0
Fares al Juheshi,31051246.0
Mahmoud Alahmad,2284527869.0
Christian A. Webb,31717083.0
M. Hirshberg,22471662.0
R. Davidson,118576023.0
Simon B. Goldberg,6383773.0
Iehab Alrassan,2085549408.0
Asma Alqahtani,2165796912.0
Lasse Kreimendahl,2284237316.0
Mikhail Karnaukh,2338003496.0
M. Röhr,38787372.0
Quan Wen,2058044165.0
Wen-Hsiang Tsai,40660777.0
Yung-Cho Chen,1519028170.0
Afsar P,2233494639.0
Shanid Malayil,2075217459.0
Aasha Verghese,2233502815.0
Aysha Sithara,2233500882.0
Amithab Pakarath,2233500875.0
Bijoy,2170117136.0
Ashmin K T,2233501784.0
Kate Donahue,122495956.0
Kostas Kollias,24194181.0
Sreenivas Gollapudi,144979147.0
M. Karimi,143995169.0
B. Vaferi,3433997.0
Cong Leng,3259574.0
Jianfeng Cheng,2149023425.0
Eugenio Vocaturo,2894523.0
E. Zumpano,1757723.0
Luciano Caroprese,3013763.0
Aghilas Akkache,2278947667.0
Lisa Clavier,2225866556.0
Oleh Mezhenskyi,2278943393.0
Kateryna Andriienkova,2278942280.0
Thibaut Soubrié,2278953381.0
Philippe Lavalle,2269072872.0
N. Vrana,5949283.0
V. Gribova,50186106.0
Lucas Neira de Lucas,2334988670.0
Glécio Silva Souza de Oliveira,2335104738.0
I. Faria,2037169343.0
Pedro Minchev Pinto,2334915568.0
Rodrigo de Camargo Patriani,2334994128.0
Bianca Cristina Paro Avelino,2334995512.0
Abdelouahab Belazoui,1829777.0
Abdelmoutia Telli,31782512.0
C. Arar,40442909.0
Zesheng Sun,2335088745.0
Pengcheng Huang,2348080160.0
Jialiang Lin,2335146575.0
Guiping Jiang,2349229052.0
Jian Chen,2348215666.0
Qianqian Liu,2348012936.0
A. Costantino,15076005.0
F. Caprioli,5351447.0
M. Vecchi,147625398.0
D. Stocco,2342220021.0
M. Aloi,5479315.0
A. Armuzzi,6852018.0
F. Ficari,46710243.0
F. Manguso,4319936.0
G. Mocci,6355099.0
A. Orlando,146150577.0
L. Pironi,4938703.0
S. Radice,46331271.0
F. Rizzello,34996349.0
A. Tongiorgi,67021408.0
S. Leone,145838284.0
F. Bossa,40024627.0
Fatemeh Zandie,2333739705.0
Mohammad Salehi,2333741325.0
A. Maziar,5962535.0
M. Bayatiani,147414513.0
Reza Paydar,2308773186.0
Peipei Chen,2290936508.0
Yuwei Jin,2290863914.0
Xinfang Ma,2290849926.0
Yan Lin,2291410971.0
Xinrui Ge,2056721044.0
Jia Yu,46380550.0
Fei Chen,2157325472.0
Fanyu Kong,8550973.0
Huaqun Wang,40245505.0
Hannon Shepard,2159008991.0
Michael Young,2159011732.0
Billy Kihei,1936237.0
M. Shukla,2298076784.0
Taryn Amberson,1904651437.0
Tara N Heagele,14261718.0
C. McNeill,2284586591.0
Lavonne Adams,2298188269.0
K. Ndayishimiye,2298187711.0
J. Castner,2276418397.0
Mayank Gupta,2152950465.0
D. Ramar,2143164142.0
Rekha Vijayan,2162152527.0
Nihit Gupta,2151682065.0
Amy Francis,2279990447.0
Colin Campbell,2279991537.0
