Paper_ID,DOI,Title,Abstract,Venue,publicationType,venue_id,journal_name,pages,volume,Edition_id,Year,publicationDate,Authors,Author_Ids,URL,s2FieldsOfStudys,Corresponding_Author_ID,publication_type_2,Citations,References
202200005d68c6c7eb4d3c27da8242a30b9a498f991e,202210.1109/ICCNS58795.2023.10193141,2022 Detection of DDoS Attacks on Clouds Computing Environments Using Machine Learning Techniques,,International Conference on Communication and Network Security,conference,3c4447e5-bf74-426d-ac93-650df74ea250,"2023 International Conference on Intelligent Computing, Communication, Networking and Services (ICCNS)",190-196,Unknown,20223c4447e5-bf74-426d-ac93-650df74ea250,2022,2023-06-19,"Iehab Alrassan, Asma Alqahtani","2085549408, 2165796912",https://www.semanticscholar.org/paper/00005d68c6c7eb4d3c27da8242a30b9a498f991e,"Computer Science, Engineering",2085549408,,,
202100005d68c6c7eb4d3c27da8242a30b9a498f991e,202110.1109/ICCNS58795.2023.10193141,2021 Detection of DDoS Attacks on Clouds Computing Environments Using Machine Learning Techniques,,International Conference on Communication and Network Security,conference,3c4447e5-bf74-426d-ac93-650df74ea250,"2023 International Conference on Intelligent Computing, Communication, Networking and Services (ICCNS)",190-196,Unknown,20213c4447e5-bf74-426d-ac93-650df74ea250,2021,2023-06-19,"Iehab Alrassan, Asma Alqahtani","2085549408, 2165796912",https://www.semanticscholar.org/paper/00005d68c6c7eb4d3c27da8242a30b9a498f991e,"Computer Science, Engineering",2085549408,,,
202000005d68c6c7eb4d3c27da8242a30b9a498f991e,202010.1109/ICCNS58795.2023.10193141,2020 Detection of DDoS Attacks on Clouds Computing Environments Using Machine Learning Techniques,,International Conference on Communication and Network Security,conference,3c4447e5-bf74-426d-ac93-650df74ea250,"2023 International Conference on Intelligent Computing, Communication, Networking and Services (ICCNS)",190-196,Unknown,20203c4447e5-bf74-426d-ac93-650df74ea250,2020,2023-06-19,"Iehab Alrassan, Asma Alqahtani","2085549408, 2165796912",https://www.semanticscholar.org/paper/00005d68c6c7eb4d3c27da8242a30b9a498f991e,"Computer Science, Engineering",2085549408,,,
201900005d68c6c7eb4d3c27da8242a30b9a498f991e,201910.1109/ICCNS58795.2023.10193141,2019 Detection of DDoS Attacks on Clouds Computing Environments Using Machine Learning Techniques,,International Conference on Communication and Network Security,conference,3c4447e5-bf74-426d-ac93-650df74ea250,"2023 International Conference on Intelligent Computing, Communication, Networking and Services (ICCNS)",190-196,Unknown,20193c4447e5-bf74-426d-ac93-650df74ea250,2019,2023-06-19,"Iehab Alrassan, Asma Alqahtani","2085549408, 2165796912",https://www.semanticscholar.org/paper/00005d68c6c7eb4d3c27da8242a30b9a498f991e,"Computer Science, Engineering",2085549408,,,
2022000099f496c1d97729700a77931d98b28a42d5df,202210.1109/ICIET57285.2023.10220929,2022 Real-Time Student Emotion and Drowsiness Detection Using YOLOv5 and CNN for Enhanced Learning,,International Conference Innovation Engineering and Technology,conference,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2023 International Conference on Innovations in Engineering and Technology (ICIET),1-8,Unknown,2022d0fd9a2e-7924-417b-8a2f-9f85acf31330,2022,2023-07-13,"Afsar P, Shanid Malayil, Aasha Verghese, Aysha Sithara, Amithab Pakarath, Bijoy, Ashmin K T","2233494639, 2075217459, 2233502815, 2233500882, 2233500875, 2170117136, 2233501784",https://www.semanticscholar.org/paper/000099f496c1d97729700a77931d98b28a42d5df,"Computer Science, Education",2233494639,,,
2021000099f496c1d97729700a77931d98b28a42d5df,202110.1109/ICIET57285.2023.10220929,2021 Real-Time Student Emotion and Drowsiness Detection Using YOLOv5 and CNN for Enhanced Learning,,International Conference Innovation Engineering and Technology,conference,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2023 International Conference on Innovations in Engineering and Technology (ICIET),1-8,Unknown,2021d0fd9a2e-7924-417b-8a2f-9f85acf31330,2021,2023-07-13,"Afsar P, Shanid Malayil, Aasha Verghese, Aysha Sithara, Amithab Pakarath, Bijoy, Ashmin K T","2233494639, 2075217459, 2233502815, 2233500882, 2233500875, 2170117136, 2233501784",https://www.semanticscholar.org/paper/000099f496c1d97729700a77931d98b28a42d5df,"Computer Science, Education",2233494639,,,
2020000099f496c1d97729700a77931d98b28a42d5df,202010.1109/ICIET57285.2023.10220929,2020 Real-Time Student Emotion and Drowsiness Detection Using YOLOv5 and CNN for Enhanced Learning,,International Conference Innovation Engineering and Technology,conference,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2023 International Conference on Innovations in Engineering and Technology (ICIET),1-8,Unknown,2020d0fd9a2e-7924-417b-8a2f-9f85acf31330,2020,2023-07-13,"Afsar P, Shanid Malayil, Aasha Verghese, Aysha Sithara, Amithab Pakarath, Bijoy, Ashmin K T","2233494639, 2075217459, 2233502815, 2233500882, 2233500875, 2170117136, 2233501784",https://www.semanticscholar.org/paper/000099f496c1d97729700a77931d98b28a42d5df,"Computer Science, Education",2233494639,,,
2019000099f496c1d97729700a77931d98b28a42d5df,201910.1109/ICIET57285.2023.10220929,2019 Real-Time Student Emotion and Drowsiness Detection Using YOLOv5 and CNN for Enhanced Learning,,International Conference Innovation Engineering and Technology,conference,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2023 International Conference on Innovations in Engineering and Technology (ICIET),1-8,Unknown,2019d0fd9a2e-7924-417b-8a2f-9f85acf31330,2019,2023-07-13,"Afsar P, Shanid Malayil, Aasha Verghese, Aysha Sithara, Amithab Pakarath, Bijoy, Ashmin K T","2233494639, 2075217459, 2233502815, 2233500882, 2233500875, 2170117136, 2233501784",https://www.semanticscholar.org/paper/000099f496c1d97729700a77931d98b28a42d5df,"Computer Science, Education",2233494639,,,
20220000f2eb98405f7d4044761c1707a199ac6189bc,202210.48550/arXiv.2308.11721,2022 When Are Two Lists Better than One?: Benefits and Harms in Joint Decision-making,,AAAI Conference on Artificial Intelligence,conference,bdc2e585-4e48-4e36-8af1-6d859763d405,ArXiv,Unknown,abs/2308.11721,2022bdc2e585-4e48-4e36-8af1-6d859763d405,2022,2023-08-22,"Kate Donahue, Kostas Kollias, Sreenivas Gollapudi","122495956, 24194181, 144979147",https://www.semanticscholar.org/paper/0000f2eb98405f7d4044761c1707a199ac6189bc,Computer Science,122495956,,,
20210000f2eb98405f7d4044761c1707a199ac6189bc,202110.48550/arXiv.2308.11721,2021 When Are Two Lists Better than One?: Benefits and Harms in Joint Decision-making,,AAAI Conference on Artificial Intelligence,conference,bdc2e585-4e48-4e36-8af1-6d859763d405,ArXiv,Unknown,abs/2308.11721,2021bdc2e585-4e48-4e36-8af1-6d859763d405,2021,2023-08-22,"Kate Donahue, Kostas Kollias, Sreenivas Gollapudi","122495956, 24194181, 144979147",https://www.semanticscholar.org/paper/0000f2eb98405f7d4044761c1707a199ac6189bc,Computer Science,122495956,,,
