Edition_ID,Venue_ID,Conference_Edition_Name,Year
20233c4447e5-bf74-426d-ac93-650df74ea250,3c4447e5-bf74-426d-ac93-650df74ea250,2023 International Conference on Communication and Network Security,2023
20223c4447e5-bf74-426d-ac93-650df74ea250,3c4447e5-bf74-426d-ac93-650df74ea250,2022 International Conference on Communication and Network Security,2022
20213c4447e5-bf74-426d-ac93-650df74ea250,3c4447e5-bf74-426d-ac93-650df74ea250,2021 International Conference on Communication and Network Security,2021
20203c4447e5-bf74-426d-ac93-650df74ea250,3c4447e5-bf74-426d-ac93-650df74ea250,2020 International Conference on Communication and Network Security,2020
20193c4447e5-bf74-426d-ac93-650df74ea250,3c4447e5-bf74-426d-ac93-650df74ea250,2019 International Conference on Communication and Network Security,2019
2023d0fd9a2e-7924-417b-8a2f-9f85acf31330,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2023 International Conference Innovation Engineering and Technology,2023
2022d0fd9a2e-7924-417b-8a2f-9f85acf31330,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2022 International Conference Innovation Engineering and Technology,2022
2021d0fd9a2e-7924-417b-8a2f-9f85acf31330,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2021 International Conference Innovation Engineering and Technology,2021
2020d0fd9a2e-7924-417b-8a2f-9f85acf31330,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2020 International Conference Innovation Engineering and Technology,2020
2019d0fd9a2e-7924-417b-8a2f-9f85acf31330,d0fd9a2e-7924-417b-8a2f-9f85acf31330,2019 International Conference Innovation Engineering and Technology,2019
2023bdc2e585-4e48-4e36-8af1-6d859763d405,bdc2e585-4e48-4e36-8af1-6d859763d405,2023 AAAI Conference on Artificial Intelligence,2023
2022bdc2e585-4e48-4e36-8af1-6d859763d405,bdc2e585-4e48-4e36-8af1-6d859763d405,2022 AAAI Conference on Artificial Intelligence,2022
2021bdc2e585-4e48-4e36-8af1-6d859763d405,bdc2e585-4e48-4e36-8af1-6d859763d405,2021 AAAI Conference on Artificial Intelligence,2021
2020bdc2e585-4e48-4e36-8af1-6d859763d405,bdc2e585-4e48-4e36-8af1-6d859763d405,2020 AAAI Conference on Artificial Intelligence,2020
2019bdc2e585-4e48-4e36-8af1-6d859763d405,bdc2e585-4e48-4e36-8af1-6d859763d405,2019 AAAI Conference on Artificial Intelligence,2019
20216363ebc9-706a-4203-b804-148cbf8810ce,6363ebc9-706a-4203-b804-148cbf8810ce,2021 IEEE International Conference on Bioinformatics and Biomedicine,2021
