DOI,Field_ID
10.3390/en17040925,1
10.3390/en17040925,2
10.3390/en17040925,3
202310.3390/en17040925,1
202310.3390/en17040925,2
202310.3390/en17040925,3
202210.3390/en17040925,1
202210.3390/en17040925,2
202210.3390/en17040925,3
10.2196/41566,4
10.2196/41566,5
10.2196/41566,3
202010.2196/41566,4
202010.2196/41566,5
202010.2196/41566,3
201910.2196/41566,4
201910.2196/41566,5
201910.2196/41566,3
10.1109/ICCNS58795.2023.10193141,1
10.1109/ICCNS58795.2023.10193141,3
202210.1109/ICCNS58795.2023.10193141,1
202210.1109/ICCNS58795.2023.10193141,3
202110.1109/ICCNS58795.2023.10193141,1
202110.1109/ICCNS58795.2023.10193141,3
202010.1109/ICCNS58795.2023.10193141,1
202010.1109/ICCNS58795.2023.10193141,3
201910.1109/ICCNS58795.2023.10193141,1
201910.1109/ICCNS58795.2023.10193141,3
10.1021/acs.jpca.4c08170,4
10.1021/acs.jpca.4c08170,6
10.1021/acs.jpca.4c08170,7
202310.1021/acs.jpca.4c08170,4
202310.1021/acs.jpca.4c08170,6
202310.1021/acs.jpca.4c08170,7
202210.1021/acs.jpca.4c08170,4
202210.1021/acs.jpca.4c08170,6
202210.1021/acs.jpca.4c08170,7
10.1155/2022/9248853,3
202110.1155/2022/9248853,3
202010.1155/2022/9248853,3
10.1109/TSMC.1986.289318,1
10.1109/TSMC.1986.289318,3
198510.1109/TSMC.1986.289318,1
198510.1109/TSMC.1986.289318,3
198410.1109/TSMC.1986.289318,1
198410.1109/TSMC.1986.289318,3
10.1109/ICIET57285.2023.10220929,8
10.1109/ICIET57285.2023.10220929,3
202210.1109/ICIET57285.2023.10220929,8
202210.1109/ICIET57285.2023.10220929,3
202110.1109/ICIET57285.2023.10220929,8
202110.1109/ICIET57285.2023.10220929,3
202010.1109/ICIET57285.2023.10220929,8
202010.1109/ICIET57285.2023.10220929,3
201910.1109/ICIET57285.2023.10220929,8
201910.1109/ICIET57285.2023.10220929,3
10.48550/arXiv.2308.11721,3
202210.48550/arXiv.2308.11721,3
202110.48550/arXiv.2308.11721,3
202010.48550/arXiv.2308.11721,3
201910.48550/arXiv.2308.11721,3
10.2139/ssrn.3935555,2
10.2139/ssrn.3935555,1
10.2139/ssrn.3935555,6
202010.2139/ssrn.3935555,2
202010.2139/ssrn.3935555,1
202010.2139/ssrn.3935555,6
201910.2139/ssrn.3935555,2
201910.2139/ssrn.3935555,1
201910.2139/ssrn.3935555,6
10.1007/s10994-015-5496-x,3
201410.1007/s10994-015-5496-x,3
201310.1007/s10994-015-5496-x,3
10.1109/BIBM52615.2021.9669784,4
10.1109/BIBM52615.2021.9669784,3
202010.1109/BIBM52615.2021.9669784,4
202010.1109/BIBM52615.2021.9669784,3
201910.1109/BIBM52615.2021.9669784,4
201910.1109/BIBM52615.2021.9669784,3
201810.1109/BIBM52615.2021.9669784,4
201810.1109/BIBM52615.2021.9669784,3
201710.1109/BIBM52615.2021.9669784,4
201710.1109/BIBM52615.2021.9669784,3
10.1002/anbr.202300085,4
10.1002/anbr.202300085,6
202310.1002/anbr.202300085,4
202310.1002/anbr.202300085,6
202210.1002/anbr.202300085,4
202210.1002/anbr.202300085,6
10.3991/ijet.v16i16.23405,8
10.3991/ijet.v16i16.23405,3
202010.3991/ijet.v16i16.23405,8
202010.3991/ijet.v16i16.23405,3
201910.3991/ijet.v16i16.23405,8
201910.3991/ijet.v16i16.23405,3
10.3389/fonc.2025.1531465,9
10.3389/fonc.2025.1531465,4
202410.3389/fonc.2025.1531465,9
202410.3389/fonc.2025.1531465,4
202310.3389/fonc.2025.1531465,9
202310.3389/fonc.2025.1531465,4
10.1093/ecco-jcc/jjab232.654,4
202110.1093/ecco-jcc/jjab232.654,4
202010.1093/ecco-jcc/jjab232.654,4
10.4103/jmss.jmss_47_23,4
10.4103/jmss.jmss_47_23,1
202310.4103/jmss.jmss_47_23,4
202310.4103/jmss.jmss_47_23,1
202210.4103/jmss.jmss_47_23,4
202210.4103/jmss.jmss_47_23,1
10.3389/fpubh.2024.1329704,4
10.3389/fpubh.2024.1329704,10
10.3389/fpubh.2024.1329704,3
202310.3389/fpubh.2024.1329704,4
202310.3389/fpubh.2024.1329704,10
202310.3389/fpubh.2024.1329704,3
202210.3389/fpubh.2024.1329704,4
202210.3389/fpubh.2024.1329704,10
202210.3389/fpubh.2024.1329704,3
10.1109/JIOT.2021.3063855,1
10.1109/JIOT.2021.3063855,3
202010.1109/JIOT.2021.3063855,1
202010.1109/JIOT.2021.3063855,3
201910.1109/JIOT.2021.3063855,1
201910.1109/JIOT.2021.3063855,3
10.1109/ICCE53296.2022.9730555,1
10.1109/ICCE53296.2022.9730555,3
202110.1109/ICCE53296.2022.9730555,1
202110.1109/ICCE53296.2022.9730555,3
202010.1109/ICCE53296.2022.9730555,1
202010.1109/ICCE53296.2022.9730555,3
201910.1109/ICCE53296.2022.9730555,1
201910.1109/ICCE53296.2022.9730555,3
201810.1109/ICCE53296.2022.9730555,1
201810.1109/ICCE53296.2022.9730555,3
10.3390/ijerph21050521,4
10.3390/ijerph21050521,10
10.3390/ijerph21050521,3
202310.3390/ijerph21050521,4
202310.3390/ijerph21050521,10
202310.3390/ijerph21050521,3
202210.3390/ijerph21050521,4
202210.3390/ijerph21050521,10
202210.3390/ijerph21050521,3
10.2174/2210676612666220408095913,5
10.2174/2210676612666220408095913,4
10.2174/2210676612666220408095913,3
202110.2174/2210676612666220408095913,5
202110.2174/2210676612666220408095913,4
202110.2174/2210676612666220408095913,3
202010.2174/2210676612666220408095913,5
202010.2174/2210676612666220408095913,4
202010.2174/2210676612666220408095913,3
10.1101/2024.09.19.613896,9
10.1101/2024.09.19.613896,4
10.1101/2024.09.19.613896,3
202310.1101/2024.09.19.613896,9
202310.1101/2024.09.19.613896,4
202310.1101/2024.09.19.613896,3
202210.1101/2024.09.19.613896,9
202210.1101/2024.09.19.613896,4
202210.1101/2024.09.19.613896,3
10.1016/j.bdr.2017.07.002,11
10.1016/j.bdr.2017.07.002,3
201610.1016/j.bdr.2017.07.002,11
201610.1016/j.bdr.2017.07.002,3
201510.1016/j.bdr.2017.07.002,11
201510.1016/j.bdr.2017.07.002,3
10.1109/ISNCC.2019.8909134,1
10.1109/ISNCC.2019.8909134,3
201810.1109/ISNCC.2019.8909134,1
201810.1109/ISNCC.2019.8909134,3
201710.1109/ISNCC.2019.8909134,1
201710.1109/ISNCC.2019.8909134,3
201610.1109/ISNCC.2019.8909134,1
201610.1109/ISNCC.2019.8909134,3
201510.1109/ISNCC.2019.8909134,1
201510.1109/ISNCC.2019.8909134,3
10.30574/ijsra.2023.10.1.0720,12
10.30574/ijsra.2023.10.1.0720,3
202210.30574/ijsra.2023.10.1.0720,12
202210.30574/ijsra.2023.10.1.0720,3
202110.30574/ijsra.2023.10.1.0720,12
202110.30574/ijsra.2023.10.1.0720,3
10.1016/j.anucene.2024.110952,1
10.1016/j.anucene.2024.110952,13
10.1016/j.anucene.2024.110952,3
202410.1016/j.anucene.2024.110952,1
202410.1016/j.anucene.2024.110952,13
202410.1016/j.anucene.2024.110952,3
202310.1016/j.anucene.2024.110952,1
202310.1016/j.anucene.2024.110952,13
202310.1016/j.anucene.2024.110952,3
10.3390/w14081300,2
10.3390/w14081300,3
202110.3390/w14081300,2
202110.3390/w14081300,3
202010.3390/w14081300,2
202010.3390/w14081300,3
10.3390/s21175948,1
10.3390/s21175948,4
10.3390/s21175948,2
10.3390/s21175948,9
10.3390/s21175948,3
202010.3390/s21175948,1
202010.3390/s21175948,4
202010.3390/s21175948,2
202010.3390/s21175948,9
202010.3390/s21175948,3
201910.3390/s21175948,1
201910.3390/s21175948,4
201910.3390/s21175948,2
201910.3390/s21175948,9
201910.3390/s21175948,3
201810.3390/s21175948,1
201810.3390/s21175948,4
201810.3390/s21175948,2
201810.3390/s21175948,9
201810.3390/s21175948,3
201710.3390/s21175948,1
201710.3390/s21175948,4
201710.3390/s21175948,2
201710.3390/s21175948,9
201710.3390/s21175948,3
10.1016/j.aiig.2022.10.003,14
10.1016/j.aiig.2022.10.003,3
202110.1016/j.aiig.2022.10.003,14
202110.1016/j.aiig.2022.10.003,3
202010.1016/j.aiig.2022.10.003,14
202010.1016/j.aiig.2022.10.003,3
10.3390/s23031639,4
10.3390/s23031639,2
10.3390/s23031639,1
10.3390/s23031639,3
202210.3390/s23031639,4
202210.3390/s23031639,2
202210.3390/s23031639,1
202210.3390/s23031639,3
202110.3390/s23031639,4
202110.3390/s23031639,2
202110.3390/s23031639,1
202110.3390/s23031639,3
202010.3390/s23031639,4
202010.3390/s23031639,2
202010.3390/s23031639,1
202010.3390/s23031639,3
201910.3390/s23031639,4
201910.3390/s23031639,2
201910.3390/s23031639,1
201910.3390/s23031639,3
10.1016/j.annonc.2024.10.576,4
10.1016/j.annonc.2024.10.576,5
10.1016/j.annonc.2024.10.576,3
202310.1016/j.annonc.2024.10.576,4
202310.1016/j.annonc.2024.10.576,5
202310.1016/j.annonc.2024.10.576,3
202210.1016/j.annonc.2024.10.576,4
202210.1016/j.annonc.2024.10.576,5
202210.1016/j.annonc.2024.10.576,3
10.1155/2023/9853636,4
10.1155/2023/9853636,3
202210.1155/2023/9853636,4
202210.1155/2023/9853636,3
202110.1155/2023/9853636,4
202110.1155/2023/9853636,3
10.1186/s12904-022-01113-0,4
10.1186/s12904-022-01113-0,3
202210.1186/s12904-022-01113-0,4
202210.1186/s12904-022-01113-0,3
202110.1186/s12904-022-01113-0,4
202110.1186/s12904-022-01113-0,3
10.1007/s11416-023-00469-y,3
202210.1007/s11416-023-00469-y,3
202110.1007/s11416-023-00469-y,3
10.1109/CISIS.2011.22,9
10.1109/CISIS.2011.22,3
201010.1109/CISIS.2011.22,9
201010.1109/CISIS.2011.22,3
200910.1109/CISIS.2011.22,9
200910.1109/CISIS.2011.22,3
200810.1109/CISIS.2011.22,9
200810.1109/CISIS.2011.22,3
200710.1109/CISIS.2011.22,9
200710.1109/CISIS.2011.22,3
10.1016/j.heliyon.2024.e30251,4
10.1016/j.heliyon.2024.e30251,3
10.1016/j.heliyon.2024.e30251,1
202310.1016/j.heliyon.2024.e30251,4
202310.1016/j.heliyon.2024.e30251,3
202310.1016/j.heliyon.2024.e30251,1
202210.1016/j.heliyon.2024.e30251,4
202210.1016/j.heliyon.2024.e30251,3
202210.1016/j.heliyon.2024.e30251,1
10.3389/fcell.2022.937761,9
10.3389/fcell.2022.937761,4
202110.3389/fcell.2022.937761,9
202110.3389/fcell.2022.937761,4
202010.3389/fcell.2022.937761,9
202010.3389/fcell.2022.937761,4
10.1109/tnse.2020.2968206,1
10.1109/tnse.2020.2968206,3
201910.1109/tnse.2020.2968206,1
201910.1109/tnse.2020.2968206,3
201810.1109/tnse.2020.2968206,1
201810.1109/tnse.2020.2968206,3
10.48175/ijarsct-14367,1
10.48175/ijarsct-14367,3
202210.48175/ijarsct-14367,1
202210.48175/ijarsct-14367,3
202110.48175/ijarsct-14367,1
202110.48175/ijarsct-14367,3
10.1115/1.4067600,1
10.1115/1.4067600,3
202410.1115/1.4067600,1
202410.1115/1.4067600,3
202310.1115/1.4067600,1
202310.1115/1.4067600,3
10.3390/agriculture14111900,2
10.3390/agriculture14111900,1
10.3390/agriculture14111900,15
202310.3390/agriculture14111900,2
202310.3390/agriculture14111900,1
202310.3390/agriculture14111900,15
202210.3390/agriculture14111900,2
202210.3390/agriculture14111900,1
202210.3390/agriculture14111900,15
10.1016/j.ejogrb.2022.12.008,4
10.1016/j.ejogrb.2022.12.008,3
202110.1016/j.ejogrb.2022.12.008,4
202110.1016/j.ejogrb.2022.12.008,3
202010.1016/j.ejogrb.2022.12.008,4
202010.1016/j.ejogrb.2022.12.008,3
10.1109/TBDATA.2019.2940237,2
10.1109/TBDATA.2019.2940237,15
10.1109/TBDATA.2019.2940237,3
201910.1109/TBDATA.2019.2940237,2
201910.1109/TBDATA.2019.2940237,15
201910.1109/TBDATA.2019.2940237,3
201810.1109/TBDATA.2019.2940237,2
201810.1109/TBDATA.2019.2940237,15
201810.1109/TBDATA.2019.2940237,3
10.1108/lhtn-08-2024-0132,8
10.1108/lhtn-08-2024-0132,3
202310.1108/lhtn-08-2024-0132,8
202310.1108/lhtn-08-2024-0132,3
202210.1108/lhtn-08-2024-0132,8
202210.1108/lhtn-08-2024-0132,3
10.1109/SP.2019.00073,3
201810.1109/SP.2019.00073,3
201710.1109/SP.2019.00073,3
201610.1109/SP.2019.00073,3
201510.1109/SP.2019.00073,3
10.1016/j.dt.2024.06.004,13
10.1016/j.dt.2024.06.004,3
10.1016/j.dt.2024.06.004,1
202310.1016/j.dt.2024.06.004,13
202310.1016/j.dt.2024.06.004,3
202310.1016/j.dt.2024.06.004,1
202210.1016/j.dt.2024.06.004,13
202210.1016/j.dt.2024.06.004,3
202210.1016/j.dt.2024.06.004,1
10.1109/CCWC57344.2023.10099366,3
202210.1109/CCWC57344.2023.10099366,3
202110.1109/CCWC57344.2023.10099366,3
202010.1109/CCWC57344.2023.10099366,3
201910.1109/CCWC57344.2023.10099366,3
10.1002/tox.24230,9
10.1002/tox.24230,4
202310.1002/tox.24230,9
202310.1002/tox.24230,4
202210.1002/tox.24230,9
202210.1002/tox.24230,4
10.1007/s13218-011-0164-1,4
10.1007/s13218-011-0164-1,3
189610.1007/s13218-011-0164-1,4
189610.1007/s13218-011-0164-1,3
189510.1007/s13218-011-0164-1,4
189510.1007/s13218-011-0164-1,3
10.32523/2616-7263-2024-149-4-256-268,1
10.32523/2616-7263-2024-149-4-256-268,3
202310.32523/2616-7263-2024-149-4-256-268,1
202310.32523/2616-7263-2024-149-4-256-268,3
202210.32523/2616-7263-2024-149-4-256-268,1
202210.32523/2616-7263-2024-149-4-256-268,3
10.1021/acs.jcim.9b00313,4
10.1021/acs.jcim.9b00313,7
10.1021/acs.jcim.9b00313,3
