Author_Name,Author_ID
Pramote Jaruwatanachai,2215114911
Yod Sukamongkol,2290530076
T. Samanchuen,2172090
Dae-yun Kim,2111834320
Doyun Kwon,2211946569
Jihoon Han,2211880913
S. Lee,2108641637
Sabeur Elkosantini,3087008
W. Suh,38857090
Aakash Lilhore,2213915423
Kavita Kiran Prasad,31624194
V. Agarwal,2113266595
T. Jonas,143975071
Noah Daniels,2204928520
Gretchen A. Macht,3049940
Sugam Pokharel,2128916182
Pradip Sah,2129350920
Deepak Ganta,1621181211
Ahmad Almaghrebi,66925799
Fares Aljuheshi,2006326711
Mostafa Rafaie,65977268
Kevin James,2069468721
M. Alahmad,3179495
Shin-Ki Hong,151208472
S. Lee,2108205184
Myungchin Kim,47597189
Christian A. Webb,31717083
C. Swords,2088219725
H. Lawrence,143996753
L. Hilt,5625647
Michael J. Constantino,4715247
James F. Boswell,38028748
A. Coyne,38214342
T. Swales,4822272
D. Kraus,34893667
Adam M. Chekroud,6609752
Julia Bondar,82934036
Jaime Delgadillo,145171115
Gavin Doherty,2659843
Akash R. Wasil,83024519
M. Fokkema,38565406
Z. Cohen,34221966
D. Belgrave,145763736
R. DeRubeis,4423584
R. Iniesta,2046648
D. Dwyer,5672681
Karmel W. Choi,6047002
Sarah Lagan,1713216668
Ryan D’Mello,1429257765
A. Vaidyam,66249157
Rebecca Bilden,2069383531
J. Torous,4058196
Claire Bone,83220614
Melanie Simmonds-Buckley,1751589651
R. Thwaites,48906201
David M. Sandford,118647000
Mariia Merzhvynska,1557448062
Julian A. Rubel,2364088
Anne-Katharina Deisenhofer,23226317
W. Lutz,143615959
L. Murray,2056702295
Cortland J. Dahl,30867640
C. Wilson-Mendenhall,1399233724
R. Davidson,118576023
J. Buckman,40216358
C. O'Driscoll,98596665
Eiko I. Fried,31487509
R. Saunders,1399284409
G. Ambler,5425644
S. Gilbody,3611410
S. Hollon,4272673
T. Kendrick,145642886
E. Watkins,144104506
T. Eley,143896420
A. Peel,31633039
C. Rayner,1400958865
D. Kessler,144833653
N. Wiles,1764802
G. Lewis,2139767932
S. Pilling,145853531
M. Forgeard,145260013
Elana S. Israel,1753166853
Nathaniel Lovell-Smith,2067967183
C. Beard,40426756
T. Björgvinsson,4054842
N. Mishra,1491631227
R. Singh,153915853
S. Yadav,121055189
Ying Liu,2155355888
Ting Zhi,50377069
Ming Shen,2153277312
Lu Wang,2153518814
Yikun Li,2288038628
Ming Wan,47418829
Mohammadreza MontazeriShatoori,2023739110
L. Davidson,2014749334
Gurdip Kaur,2269790
Arash Habibi Lashkari,2037871
Wei Chen,2154941306
Derui Ding,1795716
Hongli Dong,2597875
Guoliang Wei,2255389230
Hamed Haddad Pajouh,8755056
R. Javidan,2124913
R. Khayami,2169984
A. Dehghantanha,2011284
Kim-Kwang Raymond Choo,2840539
Abdul Raoof Wani,40962037
Q. P. Rana,10153370
U. Saxena,2059786851
Nitin Pandey,40303848
A. Yassine,1784983
Shailendra Singh,2108408587
M. S. Hossain,2242228708
Ghulam Muhammad,2061488412
Hao Zhang,2144614737
Shumin Dai,120612853
Yongdan Li,2111190419
Wenjun Zhang,2108392612
Byungseok Kang,38744397
Hyunseung Choo,1734679
Luca Schaufelberger,2322850680
J. T. Blaskovits,2255859554
Rubén Laplaza,32427390
Kjell Jorner,2321647360
Cl´emence Corminboeuf,2243999241
Amira Alakhdar,2306263826
Barnabás Póczos,2265973087
Newell Washburn,2283413400
Ilia Igashov,1677188150
Hannes Stärk,2312039321
Clément Vignac,1404062244
Arne Schneuing,89961757
Victor Garcia Satorras,73240341
Pascal Frossard,2312038635
Max Welling,2312039697
Michael M. Bronstein,2266904063
Bruno E. Correia,2266904604
Philipp Pracht,26993746
S. Grimme,2238425048
Christoph Bannwarth,4466198
Fabian Bohle,20827961
S. Ehlert,52080406
Gereon Feldmann,2114495897
Johannes Gorges,2164432309
Marcel Müller,2153815105
Tim Neudecker,2156452805
Christoph Plett,2163685142
S. Spicher,40691872
Pit Steinbach,2126179984
Patryk A Wesołowski,2090091786
Felix Zeller,2127957417
Xinmiao Peng,2274951222
Fei Zhu,2237863871
Tomer Weiss,2066207976
Eduardo Mayo Yanes,2255630165
Sabyasachi Chakraborty,2242596603
Luca Cosmo,1904895
A. M. Bronstein,2238795092
Renana Gershoni‐Poranne,1401388574
Jiří Kaleta,37458539
M. Dudič,12142040
Lucie Ludvíková,13404997
Alan Liška,29260147
A. Zaykov,3293883
Igor Rončević,10704284
M. Mašát,5303072
L. Bednárová,1970737
P. Dron,5819181
S. Teat,3821000
J. Michl,2854240
Seonghwan Kim,2109603945
Jeheon Woo,1606640839
Woo Youn Kim,2107511556
Wei Zhong,49408448
Ning Yu,2052212942
Chunyu Ai,144310754
Juan Zhao,3305260
S. Shetty,1719516
Jan Wei Pan,32339114
Charles A. Kamhoua,145231705
K. Kwiat,1723424
Mustapha Belouch,35511409
S. E. Hadaj,9518496
Mohamed Idhammad,35705551
Chuanlong Yin,30796665
Yuefei Zhu,1733625
Jin-long Fei,2191560
Xin-Zheng He,50046030
Lixin Duan,2055900
I. Tsang,1807998
Dong Xu,38188040
Yuening Zhang,2145915070
Yiming Zhang,2208160291
Nan Zhang,2153284761
M. Xiao,152312743
Hans P. Moravec,2066894
G. T. Clemence,70697622
G. Hurlbut,120757988
R. Mayhan,31151320
R. Bishel,70081198
W. H. Cormier,17003938
R. Fenton,16659596
K. W. Olson,30746396
Tanoy Debnath,9741234
M. Reza,98427937
Anichur Rahman,122679539
A. Beheshti,2140545259
Shahab S. Band,1955932190
H. Alinejad-Rokny,1405336294
Md. Yousuf Ali,2110903642
Xuan Zhang,2108233570
Md. Harun Ar Rashid,90601770
Rahul Rk,2265547870
Shanthakumar S,2265585930
Vykunth P,2265542141
Sairamnath K,2265542874
Wei Huang,None
Ning Li,2120049102
Zhijun Qiu,2053913076
Na Jiang,2057957238
Bin Wu,2152565246
Bo Liu,None
Nirmal Krishnnan,1629171923
Saeed Ahmed,2202885941
Thanmay Ganta,1629172660
G. Jeyakumar,2084286199
Aika Patricia Baldovino,1393481647
Frances Neele Vergonio,1393481609
J. P. Tomas,1382050142
Ashesh Rambachan,88738815
Hussein Mozannar,1389741476
Gagan Bansal,33340656
Adam Fourney,3318905
E. Horvitz,145479841
Eleni Straitouri,2127873667
Manuel Gomez Rodriguez,2193200302
Rohan Alur,2030148603
L. Laine,120274102
Darrick K. Li,1409648513
Manish Raghavan,38009222
Devavrat Shah,145081804
Dennis L. Shung,16014130
N. C. Benz,2095525016
Arpit Agarwal,2967743
William Brown,2072981790
Fan Yao,2068476996
Chuanhao Li,2118673816
Denis Nekipelov,2307080
Hongning Wang,2108883660
Haifeng Xu,2140349456
Valerie Chen,15110752
Q. Liao,144921048
Jennifer Wortman Vaughan,4006636
Ran Tian,1491179197
M. Tomizuka,1680165
A. Dragan,2745001
Andrea V. Bajcsy,47370841
Aanand Kumbhar,2134991737
Pravin G. Dhawale,51249914
Shobha Kumbhar,2134475915
U. Patil,2067099040
Pravin Magdum,21113038
Z. Zhou,2144471850
E. Davoudi,2070884299
B. Vaferi,3433997
M. Karimi,2071838578
Elnaz Aminzadehsarikhanbeglou,2128376224
A. Diaconita,1418169408
