Paper_ID,DOI,Title,Abstract,Venue,publicationType,publication_type_2,venue_id,journal_name,pages,volume,Edition_id,Year,publicationDate,Citations,References,Authors,Author_Ids,URL,s2FieldsOfStudys,Corresponding_Author_ID
9357a46f47c6f2bea9761cbcd79ddab4e350d557,10.3390/en16083562,Predicting and Managing EV Charging Demand on Electrical Grids: A Simulation-Based Approach,"Electric vehicles (EVs) are becoming increasingly popular, and it is important for utilities to understand their charging characteristics to accurately estimate the demand on the electrical grid. In this work, we developed simulation models for different EV charging scenarios in the home sector. We used them to predict maximum demand based on the increasing penetration of EV consumers. We comprehensively reviewed the literature on EV charging technologies, battery capacity, charging situations, and the impact of EV loads. Our results suggest a method for visualizing the impact of EV charging loads by considering factors such as state of charge, arrival time, charging duration, rate of charge, maximum charging power, and involvement rate. This method can be used to model load profiles and determine the number of chargers needed to meet EV user demand. We also explored the use of a time-of-use (TOU) tariff as a demand response strategy, which encourages EV owners to charge their vehicles off-peak in order to avoid higher demand charges. Our simulation results show the effects of various charging conditions on load profiles and indicate that the current TOU price strategy can accommodate a 20% growth in EV consumers, while the alternative TOU price strategy can handle up to a 30% penetration level.",Energies,journal,"['JournalArticle', 'Review']",1cd505d9-195d-4f99-b91c-169e872644d4,Energies,,,N/A,2023,2023-04-20 00:00:00,13,36,"Pramote Jaruwatanachai, Yod Sukamongkol, T. Samanchuen","2215114911, 2290530076, 2172090",https://www.semanticscholar.org/paper/9357a46f47c6f2bea9761cbcd79ddab4e350d557,"Engineering, Environmental Science",2215114911
c59c06c8a44acbda74667e76459b2df8dae90273,10.3390/app13063760,Data-Driven Model for Identifying Factors Influencing Electric Vehicle Charging Demand: A Comparative Analysis of Early- and Maturity-Phases of Electric Vehicle Programs in Korea,"With increasing concerns about urban pollution, electric vehicles (EVs) have offered an alternative mode of transportation that reduces urban pollution levels. Previous studies have sought to identify the various factors influencing EV charging patterns to deploy an appropriate charging infrastructure. However, limited attention has been paid to the investigation of different charging patterns identified in different regions at different phases of the EV program. This study aims to fill this research gap in the literature by developing binary logistic models that account for the factors influencing charging demands in different regions of Korea, i.e., Jeju-do and Gangneung-si. To this end, we collected historical data on EV charging transactions in these study regions and analyzed them to evaluate the difference in charging demands. The developed models suggest that the charging demand varies with charger characteristics and charging time. Moreover, different charging patterns in different regions can be explained by the different travel behaviors of those who use EVs for different trip purposes. These findings provide an important implication suggesting that policymakers should consider a stepwise strategy to construct charging infrastructure at the appropriate scale and configuration, depending on the phase of the EV program.",Applied Sciences,journal,,136edf8d-0f88-4c2c-830f-461c6a9b842e,Applied Sciences,,,N/A,2023,2023-03-15 00:00:00,6,25,"Dae-yun Kim, Doyun Kwon, Jihoon Han, S. Lee, Sabeur Elkosantini, W. Suh","2111834320, 2211946569, 2211880913, 2108641637, 3087008, 38857090",https://www.semanticscholar.org/paper/c59c06c8a44acbda74667e76459b2df8dae90273,"Engineering, Environmental Science",2111834320
286519b404064fe4e52f1dc5483596fe683aed03,10.1109/GlobConHT56829.2023.10087780,Machine Learning-based Electric Vehicle User Behavior Prediction,,2023 IEEE IAS Global Conference on Renewable Energy and Hydrogen Technologies (GlobConHT),Unknown,['Conference'],Unknown,2023 IEEE IAS Global Conference on Renewable Energy and Hydrogen Technologies (GlobConHT),1-6,,Unknown,2023,2023-03-11 00:00:00,4,20,"Aakash Lilhore, Kavita Kiran Prasad, V. Agarwal","2213915423, 31624194, 2113266595",https://www.semanticscholar.org/paper/286519b404064fe4e52f1dc5483596fe683aed03,"Computer Science, Engineering, Environmental Science",2213915423
49e3c326f67a5916bdb617f9399b21c16f9803ad,10.3390/en16041592,Electric Vehicle User Behavior: An Analysis of Charging Station Utilization in Canada,"For a user-centered deployment of electric vehicle supply equipment (EVSE) infrastructure, it is vital to understand electric vehicle user charging behavior. This study identifies user behavioral patterns by analyzing data from more than 7000 charging stations in Canada, comparing residential vs. public Level 2, and public direct current fast (DCFC) vs. public Level 2 charging. A novel algorithm, CHAODA, was applied to identify differences between DCFC and other Level 2 charging options. Through a multivariate and holistic methodology, various patterns emerge, identifying differences in the utilization and seasonality of different EVSE types. The study provides evidence of an “EV Duck Curve” that amplifies the baseline of the power production “Duck Curve,” confirming future challenges for grid stability. Implementations of this study can support future EVSE infrastructure planning efforts and help improve the overall service of electric vehicle supply equipment and grid stability.",Energies,journal,,1cd505d9-195d-4f99-b91c-169e872644d4,Energies,,,N/A,2023,2023-02-05 00:00:00,36,49,"T. Jonas, Noah Daniels, Gretchen A. Macht","143975071, 2204928520, 3049940",https://www.semanticscholar.org/paper/49e3c326f67a5916bdb617f9399b21c16f9803ad,"Engineering, Environmental Science",143975071
4bf43099563822c04eb58e6ac7c745680eafcbe7,10.3390/wevj12030094,Improved Prediction of Total Energy Consumption and Feature Analysis in Electric Vehicles Using Machine Learning and Shapley Additive Explanations Method,"Electric vehicles (EVs) have emerged as the green energy alternative for conventional vehicles. While various governments promote EVs, people feel “range anxiety” because of their limited driving range or charge capacity. A limited number of charging stations are available, which results in a strong demand for predicting energy consumed by EVs. In this paper, machine learning (ML) models such as multiple linear regression (MLR), extreme gradient boosting (XGBoost), and support vector regression (SVR) were used to investigate the total energy consumption (TEC) by the EVs. The independent variables used for the study include changing real-life situations or external parameters, such as trip distance, tire type, driving style, power, odometer reading, EV model, city, motorway, country roads, air conditioning, and park heating. We compared the ML models’ performance along with the error analysis. A pairwise correlation study showed that trip distance has a high correlation coefficient (0.87) with TEC. XGBoost had better prediction accuracy (~92%) or R2 (0.92). Trip distance, power, heating, and odometer reading were the most important features influencing the TEC, identified using the shapley additive explanations method.",World Electric Vehicle Journal,journal,,6fc2b7b5-0526-4df5-b942-b1b93f3cf248,World Electric Vehicle Journal,,,N/A,2021,2021-06-29 00:00:00,28,24,"Sugam Pokharel, Pradip Sah, Deepak Ganta","2128916182, 2129350920, 1621181211",https://www.semanticscholar.org/paper/4bf43099563822c04eb58e6ac7c745680eafcbe7,"Computer Science, Engineering, Environmental Science, Mathematics",2128916182
1024399fd57e9c554058503f1ae1742eced5864f,10.3390/en13164231,Data-Driven Charging Demand Prediction at Public Charging Stations Using Supervised Machine Learning Regression Methods,"Plug-in Electric Vehicle (PEV) user charging behavior has a significant influence on a distribution network and its reliability. Generally, monitoring energy consumption has become one of the most important factors in green and micro grids; therefore, predicting the charging demand of PEVs (the energy consumed during the charging session) could help to efficiently manage the electric grid. Consequently, three machine learning methods are applied in this research to predict the charging demand for the PEV user after a charging session starts. This approach is validated using a dataset consisting of seven years of charging events collected from public charging stations in the state of Nebraska, USA. The results show that the regression method, XGBoost, slightly outperforms the other methods in predicting the charging demand, with an RMSE equal to 6.68 kWh and R2 equal to 51.9%. The relative importance of input variables is also discussed, showing that the user’s historical average demand has the most predictive value. Accurate prediction of session charging demand, as opposed to the daily or hourly demand of multiple users, has many possible applications for utility companies and charging networks, including scheduling, grid stability, and smart grid integration.",Energies,journal,,1cd505d9-195d-4f99-b91c-169e872644d4,Energies,,,N/A,2020,2020-08-16 00:00:00,124,64,"Ahmad Almaghrebi, Fares Aljuheshi, Mostafa Rafaie, Kevin James, M. Alahmad","66925799, 2006326711, 65977268, 2069468721, 3179495",https://www.semanticscholar.org/paper/1024399fd57e9c554058503f1ae1742eced5864f,"Computer Science, Engineering, Environmental Science",66925799
f47b94e2cd35c26ac2856e31a7445159a92e9ef0,10.3390/en13102571,Assessment and Mitigation of Electric Vehicle Charging Demand Impact to Transformer Aging for an Apartment Complex,"Due to the increasing use of Electric Vehicles (EVs), the effect of the EV charging power demand on the reliability of the power system infrastructure needs to be addressed. In apartment complexes, which have emerged as a common residential type in metropolitan areas and highly populated districts, high charging demand could result in substantial stress to distribution networks. In this work, the effect of EV charging power demand in an apartment complex on the aging of the Distribution Transformer (DT) is studied. A methodology based on the stochastic characterization of vehicle usage profiles and user charging patterns is developed to obtain realistic EV charging demand profiles. Based on the modeled EV charging profile and the transformer thermal model, the effect of different EV penetration ratios on DT aging for an apartment complex in the Republic of Korea is studied. Results for an EV penetration ratio of up to 30% indicated that DT aging could be accelerated by up to 40%, compared to the case without EV charging. To mitigate this accelerated DT aging caused by EV charging, the effectiveness of two integration approaches of Photovoltaic (PV) sources was studied. Based on a case study that included a realistic PV generation profile, it was demonstrated that a significant contribution to DT reliability could be achieved via the operation of PV sources. A more apparent contribution of PV integration was observed with an energy storage installation at higher EV penetration ratios. At an EV penetration ratio of 30%, a maximum decrease of 41.8% in the loss-of-life probability of the DT was achieved. The effects of different PV integration approaches and power management details on DT aging were also studied. The results demonstrate that the EV charging demand could introduce a significant level of stress to DTs and that this impact can be effectively mitigated by installing PV sources. These observations are expected to contribute toward the effective planning of power system infrastructures that support the design of sustainable cities with the widespread use of EVs.",Energies,journal,,1cd505d9-195d-4f99-b91c-169e872644d4,Energies,,,N/A,2020,2020-05-19 00:00:00,7,67,"Shin-Ki Hong, S. Lee, Myungchin Kim","151208472, 2108205184, 47597189",https://www.semanticscholar.org/paper/f47b94e2cd35c26ac2856e31a7445159a92e9ef0,"Engineering, Environmental Science",151208472
763ffd8dc31ec8575b1389a19f92fffce792bd19,10.31234/osf.io/7gbjd,Which adolescents are well-suited to app-based mindfulness training? A randomized clinical trial and data-driven approach for personalized recommendations.,,Journal of Consulting and Clinical Psychology,journal,['JournalArticle'],e1360b1d-e977-438e-b5b6-db13ac77f0ca,Journal of consulting and clinical psychology,"
          655-669
        ",90 9,N/A,2021,2021-06-30 00:00:00,15,58,"Christian A. Webb, C. Swords, H. Lawrence, L. Hilt","31717083, 2088219725, 143996753, 5625647",https://www.semanticscholar.org/paper/763ffd8dc31ec8575b1389a19f92fffce792bd19,"Medicine, Psychology",31717083
de0e424a46b545c946cc435937a8b2eee41bad3b,10.1001/jamapsychiatry.2021.1221,Effect of Matching Therapists to Patients vs Assignment as Usual on Adult Psychotherapy Outcomes: A Randomized Clinical Trial.,,JAMA psychiatry,journal,['JournalArticle'],6998d185-1b14-41c0-9648-d9f83fdd1299,JAMA psychiatry,,,N/A,2021,2021-06-09 00:00:00,34,29,"Michael J. Constantino, James F. Boswell, A. Coyne, T. Swales, D. Kraus","4715247, 38028748, 38214342, 4822272, 34893667",https://www.semanticscholar.org/paper/de0e424a46b545c946cc435937a8b2eee41bad3b,"Medicine, Psychology",4715247
6a060a59e0595ca487d89f70281dcc8a40fd36f6,10.1002/wps.20882,The promise of machine learning in predicting treatment outcomes in psychiatry,,World Psychiatry,journal,"['JournalArticle', 'Review']",6fa1c829-124c-49c7-b3f8-91cc9caaa518,World Psychiatry,,20,N/A,2021,2021-06-01 00:00:00,284,224,"Adam M. Chekroud, Julia Bondar, Jaime Delgadillo, Gavin Doherty, Akash R. Wasil, M. Fokkema, Z. Cohen, D. Belgrave, R. DeRubeis, R. Iniesta, D. Dwyer, Karmel W. Choi","6609752, 82934036, 145171115, 2659843, 83024519, 38565406, 34221966, 145763736, 4423584, 2046648, 5672681, 6047002",https://www.semanticscholar.org/paper/6a060a59e0595ca487d89f70281dcc8a40fd36f6,"Computer Science, Medicine, Psychology",6609752
