Author_Name,Author_ID
Ahmad Almaghrebi,66925799
Kevin James,2069468721
Fares al Juheshi,31051246
Mahmoud Alahmad,2284527869
Christian A. Webb,31717083
M. Hirshberg,22471662
R. Davidson,118576023
Simon B. Goldberg,6383773
Iehab Alrassan,2085549408
Asma Alqahtani,2165796912
Lasse Kreimendahl,2284237316
Mikhail Karnaukh,2338003496
M. Röhr,38787372
Quan Wen,2058044165
Wen-Hsiang Tsai,40660777
Yung-Cho Chen,1519028170
Afsar P,2233494639
Shanid Malayil,2075217459
Aasha Verghese,2233502815
Aysha Sithara,2233500882
Amithab Pakarath,2233500875
Bijoy,2170117136
Ashmin K T,2233501784
Kate Donahue,122495956
Kostas Kollias,24194181
Sreenivas Gollapudi,144979147
M. Karimi,143995169
B. Vaferi,3433997
Cong Leng,3259574
Jianfeng Cheng,2149023425
Eugenio Vocaturo,2894523
E. Zumpano,1757723
Luciano Caroprese,3013763
Aghilas Akkache,2278947667
Lisa Clavier,2225866556
Oleh Mezhenskyi,2278943393
Kateryna Andriienkova,2278942280
Thibaut Soubrié,2278953381
Philippe Lavalle,2269072872
N. Vrana,5949283
V. Gribova,50186106
Lucas Neira de Lucas,2334988670
Glécio Silva Souza de Oliveira,2335104738
I. Faria,2037169343
Pedro Minchev Pinto,2334915568
Rodrigo de Camargo Patriani,2334994128
Bianca Cristina Paro Avelino,2334995512
Abdelouahab Belazoui,1829777
Abdelmoutia Telli,31782512
C. Arar,40442909
Zesheng Sun,2335088745
Pengcheng Huang,2348080160
Jialiang Lin,2335146575
Guiping Jiang,2349229052
Jian Chen,2348215666
Qianqian Liu,2348012936
A. Costantino,15076005
F. Caprioli,5351447
M. Vecchi,147625398
D. Stocco,2342220021
M. Aloi,5479315
A. Armuzzi,6852018
F. Ficari,46710243
F. Manguso,4319936
G. Mocci,6355099
A. Orlando,146150577
L. Pironi,4938703
S. Radice,46331271
F. Rizzello,34996349
A. Tongiorgi,67021408
S. Leone,145838284
F. Bossa,40024627
Fatemeh Zandie,2333739705
Mohammad Salehi,2333741325
A. Maziar,5962535
M. Bayatiani,147414513
Reza Paydar,2308773186
Peipei Chen,2290936508
Yuwei Jin,2290863914
Xinfang Ma,2290849926
Yan Lin,2291410971
Xinrui Ge,2056721044
Jia Yu,46380550
Fei Chen,2157325472
Fanyu Kong,8550973
Huaqun Wang,40245505
Hannon Shepard,2159008991
Michael Young,2159011732
Billy Kihei,1936237
M. Shukla,2298076784
Taryn Amberson,1904651437
Tara N Heagele,14261718
C. McNeill,2284586591
Lavonne Adams,2298188269
K. Ndayishimiye,2298187711
J. Castner,2276418397
Mayank Gupta,2152950465
D. Ramar,2143164142
Rekha Vijayan,2162152527
Nihit Gupta,2151682065
Amy Francis,2279990447
Colin Campbell,2279991537
Tom Gaunt,2279990390
Nikhitha K. Nair,32034584
S. Asharaf,48009587
Ying Yang,2146419472
Lidong Zhu,3127521
Chetanpal Singh,2222176832
Rahul Thakkar,2240045681
Rashikala Weerawarna,2240048305
Vimal B. Patel,2222176836
Tianxiang Wang,2318742911
Hao Yang,2324606564
Shengli Chen,2302582592
Cenxi Yuan,2324365543
J. Ni,9970626
Ruping Liu,2163285251
Yingqi Li,2163292705
Guangyi Tang,2065465713
P. Shi,2055356924
S. Fuentes,145298798
E. Tongson,30772377
R. Unnithan,21058844
Claudia Gonzalez Viejo,13288046
Steven E. Zhang,2116047177
