Author_Name,Author_ID
Pramote Jaruwatanachai,2215114911
Yod Sukamongkol,2290530076
T. Samanchuen,2172090
Dae-yun Kim,2111834320
Doyun Kwon,2211946569
Jihoon Han,2211880913
S. Lee,2108641637
Sabeur Elkosantini,3087008
W. Suh,38857090
Aakash Lilhore,2213915423
Kavita Kiran Prasad,31624194
V. Agarwal,2113266595
T. Jonas,143975071
Noah Daniels,2204928520
Gretchen A. Macht,3049940
Sugam Pokharel,2128916182
Pradip Sah,2129350920
Deepak Ganta,1621181211
Christian A. Webb,31717083
C. Swords,2088219725
H. Lawrence,143996753
L. Hilt,5625647
Michael J. Constantino,4715247
James F. Boswell,38028748
A. Coyne,38214342
T. Swales,4822272
D. Kraus,34893667
Adam M. Chekroud,6609752
Julia Bondar,82934036
Jaime Delgadillo,145171115
Gavin Doherty,2659843
Akash R. Wasil,83024519
M. Fokkema,38565406
Z. Cohen,34221966
D. Belgrave,145763736
R. DeRubeis,4423584
R. Iniesta,2046648
D. Dwyer,5672681
Karmel W. Choi,6047002
Sarah Lagan,1713216668
Ryan D’Mello,1429257765
A. Vaidyam,66249157
Rebecca Bilden,2069383531
J. Torous,4058196
N. Mishra,1491631227
R. Singh,153915853
S. Yadav,121055189
Ying Liu,2155355888
Ting Zhi,50377069
Ming Shen,2153277312
Lu Wang,2153518814
Yikun Li,2288038628
Ming Wan,47418829
Mohammadreza MontazeriShatoori,2023739110
L. Davidson,2014749334
Gurdip Kaur,2269790
Arash Habibi Lashkari,2037871
Wei Chen,2154941306
Derui Ding,1795716
Hongli Dong,2597875
Guoliang Wei,2255389230
Hamed Haddad Pajouh,8755056
R. Javidan,2124913
R. Khayami,2169984
A. Dehghantanha,2011284
Kim-Kwang Raymond Choo,2840539
Luca Schaufelberger,2322850680
J. T. Blaskovits,2255859554
Rubén Laplaza,32427390
Kjell Jorner,2321647360
Cl´emence Corminboeuf,2243999241
Amira Alakhdar,2306263826
Barnabás Póczos,2265973087
Newell Washburn,2283413400
Ilia Igashov,1677188150
Hannes Stärk,2312039321
Clément Vignac,1404062244
Arne Schneuing,89961757
Victor Garcia Satorras,73240341
Pascal Frossard,2312038635
Max Welling,2312039697
Michael M. Bronstein,2266904063
Bruno E. Correia,2266904604
Philipp Pracht,26993746
S. Grimme,2238425048
Christoph Bannwarth,4466198
Fabian Bohle,20827961
S. Ehlert,52080406
Gereon Feldmann,2114495897
Johannes Gorges,2164432309
Marcel Müller,2153815105
Tim Neudecker,2156452805
Christoph Plett,2163685142
S. Spicher,40691872
Pit Steinbach,2126179984
Patryk A Wesołowski,2090091786
Felix Zeller,2127957417
Xinmiao Peng,2274951222
Fei Zhu,2237863871
Wei Zhong,49408448
Ning Yu,2052212942
Chunyu Ai,144310754
Juan Zhao,3305260
S. Shetty,1719516
Jan Wei Pan,32339114
Charles A. Kamhoua,145231705
K. Kwiat,1723424
Mustapha Belouch,35511409
S. E. Hadaj,9518496
Mohamed Idhammad,35705551
Chuanlong Yin,30796665
Yuefei Zhu,1733625
Jin-long Fei,2191560
Xin-Zheng He,50046030
Lixin Duan,2055900
I. Tsang,1807998
Dong Xu,38188040
Hans P. Moravec,2066894
G. T. Clemence,70697622
G. Hurlbut,120757988
R. Mayhan,31151320
R. Bishel,70081198
W. H. Cormier,17003938
R. Fenton,16659596
Tanoy Debnath,9741234
M. Reza,98427937
Anichur Rahman,122679539
A. Beheshti,2140545259
Shahab S. Band,1955932190
H. Alinejad-Rokny,1405336294
Md. Yousuf Ali,2110903642
Xuan Zhang,2108233570
Md. Harun Ar Rashid,90601770
Rahul Rk,2265547870
Shanthakumar S,2265585930
Vykunth P,2265542141
Sairamnath K,2265542874
Wei Huang,None
Ning Li,2120049102
Zhijun Qiu,2053913076
Na Jiang,2057957238
Bin Wu,2152565246
Bo Liu,None
Ashesh Rambachan,88738815
Hussein Mozannar,1389741476
Gagan Bansal,33340656
Adam Fourney,3318905
E. Horvitz,145479841
Eleni Straitouri,2127873667
Manuel Gomez Rodriguez,2193200302
Rohan Alur,2030148603
L. Laine,120274102
Darrick K. Li,1409648513
Manish Raghavan,38009222
Devavrat Shah,145081804
Dennis L. Shung,16014130
N. C. Benz,2095525016
Aanand Kumbhar,2134991737
Pravin G. Dhawale,51249914
Shobha Kumbhar,2134475915
U. Patil,2067099040
Pravin Magdum,21113038
Z. Zhou,2144471850
E. Davoudi,2070884299
B. Vaferi,3433997
M. Karimi,2071838578
Elnaz Aminzadehsarikhanbeglou,2128376224
A. Diaconita,1418169408
G. Andrei,143694184
L. Rusu,22770806
C. Tsekos,102306097
S. Tandurella,48760855
W. de Jong,1410770792
Xianglong Liu,6820648
Junfeng He,38807427
B. Lang,1727601
Yunchao Gong,5115386
Svetlana Lazebnik,1749609
Albert Gordo,1821267
Florent Perronnin,1723883
Guosheng Lin,2604251
Chunhua Shen,1780381
D. Suter,50592201
A. Hengel,5546141
Mohammad Norouzi,144739074
A. Punjani,2355911
David J. Fleet,1793739
Kaiming He,39353098
Fang Wen,1716835
Jian Sun,None
T. Šušteršič,2857902
V. Gribova,50186106
Milica G. Nikolić,46357489
P. Lavalle,2464183
Nenad Filipović,2174577196
N. Vrana,5949283
Lauriane Petit,2147278596
C. Seguin,48036925
S. Fournel,145086061
A. Kichler,5200853
A. Suwardi,16105396
Fuke Wang,9836129
K. Xue,49572269
M. Han,2118698335
P. Teo,92096981
Pei Wang,2155650933
Shijie Wang,2268798422
Ye Liu,2108334233
E. Ye,66134654
Zibiao Li,2108127
X. Loh,4577841
Anastasiia Navalikhina,2127747851
O. Lysenko,40327606
C. Calligaro,2080792630
Eloïse Lebaudy,1995551750
Lucie Deiber,2127745029
B. Senger,4573861
Bo Mi Lee,49132463
S. Park,2115610563
I. Noh,145927469
C. Kim,4095583
S. K. Panda,145746201
Vaibhav Mishra,2139326076
R. Balamurali,9457029
Ahmed A. Elngar,2263237
Gissel Velarde,23744996
Xing Hao,2113979381
Guigang Zhang,8273966
Shang Ma,2118869556
M. El Ouaazizi,1642037301
Ismail Akharraz,2350505736
G. George,101494947
Anisha M. Lal,152311931
Mohammed Beyyoudh,51150280
Mohammed Khalidi,3174191
S. Bennani,2000557
Elham Mousavinasab,51120408
Nahid Zarifsanaiey,7824928
S. R. N. Kalhori,143719327
M. Rakhshan,6046549
L. Keikha,40858624
M. Saeedi,39931875
B. Herbert,36296295
M. Billinghurst,1684805
A. Weerasinghe,143604716
Barrett Ens,2502367
G. Wigley,2237026
Binshan Zhang,2334735633
Yunqi Wu,2306834116
Zhongli Wang,2334581284
Suhua Gao,2339422376
Hongyan Liu,2115669246
Yao Lin,2149202194
Pei Yu,2271660714
Yaling Tao,48273469
Xuefeng Bai,6713131
Yinjie Zhou,37517442
Yue Zhao,152621421
Liangwei Yang,9009605
Shun Zhang,2108060889
Yan Sun,2152597954
Xiaochun Huang,2236569517
E. Schneider,1600525348
A. Zampetaki,4339848
A. Margariti,145889663
M. Giacca,48083324
J. N. Arnold,4317000
L. Zeng,47462135
Ting Cai,2072571985
Moumita Kundu,144682538
Subhayan Das,3661610
Ankita Dey,2299383513
Mahitosh Mandal,2249225631
Stefano Zoroddu,2122952379
L. Sanna,22726676
Valentina Bordoni,28917533
