Paper_ID,DOI,Title,Abstract,Venue,publicationType,publication_type_2,venue_id,journal_name,pages,volume,edition_id,Year,publicationDate,Citations,References,Authors,Author_Ids,URL,s2FieldsOfStudys,Corresponding_Author_ID
9357a46f47c6f2bea9761cbcd79ddab4e350d557,10.3390/en16083562,Predicting and Managing EV Charging Demand on Electrical Grids: A Simulation-Based Approach,"Electric vehicles (EVs) are becoming increasingly popular, and it is important for utilities to understand their charging characteristics to accurately estimate the demand on the electrical grid. In this work, we developed simulation models for different EV charging scenarios in the home sector. We used them to predict maximum demand based on the increasing penetration of EV consumers. We comprehensively reviewed the literature on EV charging technologies, battery capacity, charging situations, and the impact of EV loads. Our results suggest a method for visualizing the impact of EV charging loads by considering factors such as state of charge, arrival time, charging duration, rate of charge, maximum charging power, and involvement rate. This method can be used to model load profiles and determine the number of chargers needed to meet EV user demand. We also explored the use of a time-of-use (TOU) tariff as a demand response strategy, which encourages EV owners to charge their vehicles off-peak in order to avoid higher demand charges. Our simulation results show the effects of various charging conditions on load profiles and indicate that the current TOU price strategy can accommodate a 20% growth in EV consumers, while the alternative TOU price strategy can handle up to a 30% penetration level.",Energies,journal,"['JournalArticle', 'Review']",1cd505d9-195d-4f99-b91c-169e872644d4,Energies,,,N/A,2023,2023-04-20 00:00:00,13,36,"Pramote Jaruwatanachai, Yod Sukamongkol, T. Samanchuen","2215114911, 2290530076, 2172090",https://www.semanticscholar.org/paper/9357a46f47c6f2bea9761cbcd79ddab4e350d557,"Engineering, Environmental Science",2215114911
c59c06c8a44acbda74667e76459b2df8dae90273,10.3390/app13063760,Data-Driven Model for Identifying Factors Influencing Electric Vehicle Charging Demand: A Comparative Analysis of Early- and Maturity-Phases of Electric Vehicle Programs in Korea,"With increasing concerns about urban pollution, electric vehicles (EVs) have offered an alternative mode of transportation that reduces urban pollution levels. Previous studies have sought to identify the various factors influencing EV charging patterns to deploy an appropriate charging infrastructure. However, limited attention has been paid to the investigation of different charging patterns identified in different regions at different phases of the EV program. This study aims to fill this research gap in the literature by developing binary logistic models that account for the factors influencing charging demands in different regions of Korea, i.e., Jeju-do and Gangneung-si. To this end, we collected historical data on EV charging transactions in these study regions and analyzed them to evaluate the difference in charging demands. The developed models suggest that the charging demand varies with charger characteristics and charging time. Moreover, different charging patterns in different regions can be explained by the different travel behaviors of those who use EVs for different trip purposes. These findings provide an important implication suggesting that policymakers should consider a stepwise strategy to construct charging infrastructure at the appropriate scale and configuration, depending on the phase of the EV program.",Applied Sciences,journal,,136edf8d-0f88-4c2c-830f-461c6a9b842e,Applied Sciences,,,N/A,2023,2023-03-15 00:00:00,6,25,"Dae-yun Kim, Doyun Kwon, Jihoon Han, S. Lee, Sabeur Elkosantini, W. Suh","2111834320, 2211946569, 2211880913, 2108641637, 3087008, 38857090",https://www.semanticscholar.org/paper/c59c06c8a44acbda74667e76459b2df8dae90273,"Engineering, Environmental Science",2111834320
286519b404064fe4e52f1dc5483596fe683aed03,10.1109/GlobConHT56829.2023.10087780,Machine Learning-based Electric Vehicle User Behavior Prediction,,2023 IEEE IAS Global Conference on Renewable Energy and Hydrogen Technologies (GlobConHT),Unknown,['Conference'],Unknown,2023 IEEE IAS Global Conference on Renewable Energy and Hydrogen Technologies (GlobConHT),1-6,,Unknown,2023,2023-03-11 00:00:00,4,20,"Aakash Lilhore, Kavita Kiran Prasad, V. Agarwal","2213915423, 31624194, 2113266595",https://www.semanticscholar.org/paper/286519b404064fe4e52f1dc5483596fe683aed03,"Computer Science, Engineering, Environmental Science",2213915423
49e3c326f67a5916bdb617f9399b21c16f9803ad,10.3390/en16041592,Electric Vehicle User Behavior: An Analysis of Charging Station Utilization in Canada,"For a user-centered deployment of electric vehicle supply equipment (EVSE) infrastructure, it is vital to understand electric vehicle user charging behavior. This study identifies user behavioral patterns by analyzing data from more than 7000 charging stations in Canada, comparing residential vs. public Level 2, and public direct current fast (DCFC) vs. public Level 2 charging. A novel algorithm, CHAODA, was applied to identify differences between DCFC and other Level 2 charging options. Through a multivariate and holistic methodology, various patterns emerge, identifying differences in the utilization and seasonality of different EVSE types. The study provides evidence of an “EV Duck Curve” that amplifies the baseline of the power production “Duck Curve,” confirming future challenges for grid stability. Implementations of this study can support future EVSE infrastructure planning efforts and help improve the overall service of electric vehicle supply equipment and grid stability.",Energies,journal,,1cd505d9-195d-4f99-b91c-169e872644d4,Energies,,,N/A,2023,2023-02-05 00:00:00,34,49,"T. Jonas, Noah Daniels, Gretchen A. Macht","143975071, 2204928520, 3049940",https://www.semanticscholar.org/paper/49e3c326f67a5916bdb617f9399b21c16f9803ad,"Engineering, Environmental Science",143975071
4bf43099563822c04eb58e6ac7c745680eafcbe7,10.3390/wevj12030094,Improved Prediction of Total Energy Consumption and Feature Analysis in Electric Vehicles Using Machine Learning and Shapley Additive Explanations Method,"Electric vehicles (EVs) have emerged as the green energy alternative for conventional vehicles. While various governments promote EVs, people feel “range anxiety” because of their limited driving range or charge capacity. A limited number of charging stations are available, which results in a strong demand for predicting energy consumed by EVs. In this paper, machine learning (ML) models such as multiple linear regression (MLR), extreme gradient boosting (XGBoost), and support vector regression (SVR) were used to investigate the total energy consumption (TEC) by the EVs. The independent variables used for the study include changing real-life situations or external parameters, such as trip distance, tire type, driving style, power, odometer reading, EV model, city, motorway, country roads, air conditioning, and park heating. We compared the ML models’ performance along with the error analysis. A pairwise correlation study showed that trip distance has a high correlation coefficient (0.87) with TEC. XGBoost had better prediction accuracy (~92%) or R2 (0.92). Trip distance, power, heating, and odometer reading were the most important features influencing the TEC, identified using the shapley additive explanations method.",World Electric Vehicle Journal,journal,,6fc2b7b5-0526-4df5-b942-b1b93f3cf248,World Electric Vehicle Journal,,,N/A,2021,2021-06-29 00:00:00,28,24,"Sugam Pokharel, Pradip Sah, Deepak Ganta","2128916182, 2129350920, 1621181211",https://www.semanticscholar.org/paper/4bf43099563822c04eb58e6ac7c745680eafcbe7,"Computer Science, Engineering, Environmental Science, Mathematics",2128916182
763ffd8dc31ec8575b1389a19f92fffce792bd19,10.31234/osf.io/7gbjd,Which adolescents are well-suited to app-based mindfulness training? A randomized clinical trial and data-driven approach for personalized recommendations.,,Journal of Consulting and Clinical Psychology,journal,['JournalArticle'],e1360b1d-e977-438e-b5b6-db13ac77f0ca,Journal of consulting and clinical psychology,"
          655-669
        ",90 9,N/A,2021,2021-06-30 00:00:00,14,58,"Christian A. Webb, C. Swords, H. Lawrence, L. Hilt","31717083, 2088219725, 143996753, 5625647",https://www.semanticscholar.org/paper/763ffd8dc31ec8575b1389a19f92fffce792bd19,"Medicine, Psychology",31717083
de0e424a46b545c946cc435937a8b2eee41bad3b,10.1001/jamapsychiatry.2021.1221,Effect of Matching Therapists to Patients vs Assignment as Usual on Adult Psychotherapy Outcomes: A Randomized Clinical Trial.,,JAMA psychiatry,journal,['JournalArticle'],6998d185-1b14-41c0-9648-d9f83fdd1299,JAMA psychiatry,,,N/A,2021,2021-06-09 00:00:00,34,29,"Michael J. Constantino, James F. Boswell, A. Coyne, T. Swales, D. Kraus","4715247, 38028748, 38214342, 4822272, 34893667",https://www.semanticscholar.org/paper/de0e424a46b545c946cc435937a8b2eee41bad3b,"Medicine, Psychology",4715247
6a060a59e0595ca487d89f70281dcc8a40fd36f6,10.1002/wps.20882,The promise of machine learning in predicting treatment outcomes in psychiatry,,World Psychiatry,journal,"['JournalArticle', 'Review']",6fa1c829-124c-49c7-b3f8-91cc9caaa518,World Psychiatry,,20,N/A,2021,2021-06-01 00:00:00,280,224,"Adam M. Chekroud, Julia Bondar, Jaime Delgadillo, Gavin Doherty, Akash R. Wasil, M. Fokkema, Z. Cohen, D. Belgrave, R. DeRubeis, R. Iniesta, D. Dwyer, Karmel W. Choi","6609752, 82934036, 145171115, 2659843, 83024519, 38565406, 34221966, 145763736, 4423584, 2046648, 5672681, 6047002",https://www.semanticscholar.org/paper/6a060a59e0595ca487d89f70281dcc8a40fd36f6,"Computer Science, Medicine, Psychology",6609752
f21c29326028508c977280ace1cdcbb711201bc3,10.1111/acps.13306,"Assessing mental health apps marketplaces with objective metrics from 29,190 data points from 278 apps",,Acta Psychiatrica Scandinavica,journal,"['JournalArticle', 'Review']",906da9b0-279c-4ab4-b1f6-2777b2957ba2,Acta Psychiatrica Scandinavica,,144,N/A,2021,2021-04-09 00:00:00,41,37,"Sarah Lagan, Ryan D’Mello, A. Vaidyam, Rebecca Bilden, J. Torous","1713216668, 1429257765, 66249157, 2069383531, 4058196",https://www.semanticscholar.org/paper/f21c29326028508c977280ace1cdcbb711201bc3,"Medicine, Psychology",1713216668
6e586f2d687d0769880cc25b9999bc1c67e8a701,10.1016/S2589-7500(21)00042-X,Progress towards clinically informative data-driven decision support tools in psychotherapy.,,The Lancet Digital Health,journal,['JournalArticle'],7721aa7e-caef-4ef9-904f-d5194d57e0de,The Lancet. Digital health,"
          e207-e208
        ",3 4,N/A,2021,2021-04-01 00:00:00,4,11,"Christian A. Webb, Z. Cohen","31717083, 34221966",https://www.semanticscholar.org/paper/6e586f2d687d0769880cc25b9999bc1c67e8a701,"Computer Science, Medicine, Psychology",31717083
5f6bf33877df1d13c16b2bbe045411f426a2cd3a,10.1155/2022/9151847,Detection of DDoS Vulnerability in Cloud Computing Using the Perplexed Bayes Classifier,"Cloud computing security has been a critical issue with its increase in demand. One of the most challenging problems in cloud computing is detecting distributed denial-of-service (DDoS) attacks. The attack detection framework for the DDoS attack is tricky because of its nonlinear nature of interruption activities, atypical system traffic behaviour, and many features in the problem space. As a result, creating defensive solutions against these attacks is critical for mainstream cloud computing adoption. In this novel research, by using performance parameters, perplexed-based classifiers with and without feature selection will be compared with the existing machine learning algorithms such as naïve Bayes and random forest to prove the efficacy of the perplexed-based classification algorithm. Comparing the performance parameters like accuracy, sensitivity, and specificity, the proposed algorithm has an accuracy of 99%, which is higher than the existing algorithms, proving that the proposed algorithm is highly efficient in detecting the DDoS attacks in cloud computing systems. To extend our research in the area of nature-inspired computing, we compared our perplexed Bayes classifier feature selection with nature-inspired feature selection like genetic algorithm (GA) and particle swarm optimization (PSO) and found that our classifier is highly efficient in comparison with GA and PSO and their accuracies are 2% and 8%, respectively, less than those of perplexed Bayes classifier.",Computational Intelligence and Neuroscience,journal,['JournalArticle'],f32b7322-b69c-4e63-801d-8f50784ef778,Computational Intelligence and Neuroscience,,2022,N/A,2022,2022-07-19 00:00:00,17,41,"N. Mishra, R. Singh, S. Yadav","1491631227, 153915853, 121055189",https://www.semanticscholar.org/paper/5f6bf33877df1d13c16b2bbe045411f426a2cd3a,"Computer Science, Engineering, Medicine",1491631227
