Paper_DOI,Reference_DOI
10.3390/en17040925,10.3390/en16083562
10.3390/en17040925,10.3390/app13063760
10.3390/en17040925,10.1109/GlobConHT56829.2023.10087780
10.3390/en17040925,10.3390/en16041592
10.3390/en17040925,10.3390/wevj12030094
10.2196/41566,10.31234/osf.io/7gbjd
10.2196/41566,10.1001/jamapsychiatry.2021.1221
10.2196/41566,10.1002/wps.20882
10.2196/41566,10.1111/acps.13306
10.2196/41566,10.1016/S2589-7500(21)00042-X
10.1109/ICCNS58795.2023.10193141,10.1155/2022/9151847
10.1109/ICCNS58795.2023.10193141,10.1016/j.future.2021.11.009
10.1109/ICCNS58795.2023.10193141,10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00026
10.1109/ICCNS58795.2023.10193141,10.1109/TSMC.2019.2905253
10.1109/ICCNS58795.2023.10193141,10.1109/TETC.2016.2633228
10.1021/acs.jpca.4c08170,10.1002/anie.202415056
10.1021/acs.jpca.4c08170,10.1021/acs.jcim.4c01107
10.1021/acs.jpca.4c08170,10.1038/s42256-024-00815-9
10.1021/acs.jpca.4c08170,10.1063/5.0197592
10.1021/acs.jpca.4c08170,10.1016/j.eswa.2023.122949
10.1155/2022/9248853,10.26599/bdma.2020.9020003
10.1155/2022/9248853,10.1186/s13635-019-0084-4
10.1155/2022/9248853,10.1016/J.PROCS.2018.01.091
10.1155/2022/9248853,10.1109/ACCESS.2017.2762418
10.1155/2022/9248853,10.1109/TPAMI.2011.114
10.1109/TSMC.1986.289318,10.1007/978-1-4613-8997-2_30
10.1109/TSMC.1986.289318,10.1109/T-VT.1983.23969
10.1109/TSMC.1986.289318,10.1109/T-VT.1982.23910
10.1109/TSMC.1986.289318,10.1109/VTC.1981.1622960
10.1109/TSMC.1986.289318,10.1109/T-VT.1980.23869
10.1109/ICIET57285.2023.10220929,10.1038/s41598-022-11173-0
10.1109/ICIET57285.2023.10220929,10.52549/ijeei.v8i4.2585
10.1109/ICIET57285.2023.10220929,10.30534/ijatcse/2020/68952020
10.1109/ICIET57285.2023.10220929,10.1109/urtc51696.2020.9668900
