Paper_DOI,Reference_DOI
202010.3390/app112210795,201510.1109/ICSPCC46631.2019.8960779
201910.3390/app112210795,201510.1109/ICSPCC46631.2019.8960779
202010.3390/APP11114834,201510.1109/ICSPCC46631.2019.8960779
201910.3390/APP11114834,201510.1109/ICSPCC46631.2019.8960779
201710.3390/APP8081280,201510.1109/ICSPCC46631.2019.8960779
201610.3390/APP8081280,201510.1109/ICSPCC46631.2019.8960779
202210.3390/app13095737,201510.1109/ICSPCC46631.2019.8960779
202110.3390/app13095737,201510.1109/ICSPCC46631.2019.8960779
202110.3390/a15090333,201510.1109/ICSPCC46631.2019.8960779
202010.3390/a15090333,201510.1109/ICSPCC46631.2019.8960779
202210.3390/app13116639,201510.1109/ICSPCC46631.2019.8960779
202110.3390/app13116639,201510.1109/ICSPCC46631.2019.8960779
202110.3390/app12042160,201510.1109/ICSPCC46631.2019.8960779
202010.3390/app12042160,201510.1109/ICSPCC46631.2019.8960779
202310.3390/a17090419,201510.1109/ICSPCC46631.2019.8960779
202210.3390/a17090419,201510.1109/ICSPCC46631.2019.8960779
201710.3390/a11040042,201510.1109/ICSPCC46631.2019.8960779
201610.3390/a11040042,201510.1109/ICSPCC46631.2019.8960779
10.3390/app112210795,201510.1109/ICSPCC46631.2019.8960779
10.3390/APP11114834,201510.1109/ICSPCC46631.2019.8960779
10.3390/APP8081280,201510.1109/ICSPCC46631.2019.8960779
10.3390/app13095737,201510.1109/ICSPCC46631.2019.8960779
10.3390/a15090333,201510.1109/ICSPCC46631.2019.8960779
10.3390/app13116639,201510.1109/ICSPCC46631.2019.8960779
10.3390/app12042160,201510.1109/ICSPCC46631.2019.8960779
10.3390/a17090419,201510.1109/ICSPCC46631.2019.8960779
10.3390/a11040042,201510.1109/ICSPCC46631.2019.8960779
202010.3390/app112210795,10.1007/s11042-022-13550-3
201910.3390/app112210795,10.1007/s11042-022-13550-3
202010.3390/APP11114834,10.1007/s11042-022-13550-3
201910.3390/APP11114834,10.1007/s11042-022-13550-3
201710.3390/APP8081280,10.1007/s11042-022-13550-3
201610.3390/APP8081280,10.1007/s11042-022-13550-3
202210.3390/app13095737,10.1007/s11042-022-13550-3
202110.3390/app13095737,10.1007/s11042-022-13550-3
202110.3390/a15090333,10.1007/s11042-022-13550-3
202010.3390/a15090333,10.1007/s11042-022-13550-3
202210.3390/app13116639,10.1007/s11042-022-13550-3
202110.3390/app13116639,10.1007/s11042-022-13550-3
202110.3390/app12042160,10.1007/s11042-022-13550-3
202010.3390/app12042160,10.1007/s11042-022-13550-3
202310.3390/a17090419,10.1007/s11042-022-13550-3
202210.3390/a17090419,10.1007/s11042-022-13550-3
201710.3390/a11040042,10.1007/s11042-022-13550-3
201610.3390/a11040042,10.1007/s11042-022-13550-3
10.3390/app112210795,10.1007/s11042-022-13550-3
10.3390/APP11114834,10.1007/s11042-022-13550-3
10.3390/APP8081280,10.1007/s11042-022-13550-3
10.3390/app13095737,10.1007/s11042-022-13550-3
10.3390/a15090333,10.1007/s11042-022-13550-3
10.3390/app13116639,10.1007/s11042-022-13550-3
10.3390/app12042160,10.1007/s11042-022-13550-3
10.3390/a17090419,10.1007/s11042-022-13550-3
10.3390/a11040042,10.1007/s11042-022-13550-3
202010.3390/app112210795,201810.1145/3386052.3386060
201910.3390/app112210795,201810.1145/3386052.3386060
202010.3390/APP11114834,201810.1145/3386052.3386060
201910.3390/APP11114834,201810.1145/3386052.3386060
201710.3390/APP8081280,201810.1145/3386052.3386060
201610.3390/APP8081280,201810.1145/3386052.3386060
202210.3390/app13095737,201810.1145/3386052.3386060
202110.3390/app13095737,201810.1145/3386052.3386060
202110.3390/a15090333,201810.1145/3386052.3386060
202010.3390/a15090333,201810.1145/3386052.3386060
202210.3390/app13116639,201810.1145/3386052.3386060
202110.3390/app13116639,201810.1145/3386052.3386060
202110.3390/app12042160,201810.1145/3386052.3386060
202010.3390/app12042160,201810.1145/3386052.3386060
202310.3390/a17090419,201810.1145/3386052.3386060
202210.3390/a17090419,201810.1145/3386052.3386060
201710.3390/a11040042,201810.1145/3386052.3386060
201610.3390/a11040042,201810.1145/3386052.3386060
10.3390/app112210795,201810.1145/3386052.3386060
10.3390/APP11114834,201810.1145/3386052.3386060
10.3390/APP8081280,201810.1145/3386052.3386060
10.3390/app13095737,201810.1145/3386052.3386060
10.3390/a15090333,201810.1145/3386052.3386060
10.3390/app13116639,201810.1145/3386052.3386060
10.3390/app12042160,201810.1145/3386052.3386060
10.3390/a17090419,201810.1145/3386052.3386060
10.3390/a11040042,201810.1145/3386052.3386060
202010.3390/app112210795,202110.1016/j.asoc.2023.110114
201910.3390/app112210795,202110.1016/j.asoc.2023.110114
202010.3390/APP11114834,202110.1016/j.asoc.2023.110114
201910.3390/APP11114834,202110.1016/j.asoc.2023.110114
201710.3390/APP8081280,202110.1016/j.asoc.2023.110114
201610.3390/APP8081280,202110.1016/j.asoc.2023.110114
202210.3390/app13095737,202110.1016/j.asoc.2023.110114
202110.3390/app13095737,202110.1016/j.asoc.2023.110114
202110.3390/a15090333,202110.1016/j.asoc.2023.110114
202010.3390/a15090333,202110.1016/j.asoc.2023.110114
202210.3390/app13116639,202110.1016/j.asoc.2023.110114
202110.3390/app13116639,202110.1016/j.asoc.2023.110114
202110.3390/app12042160,202110.1016/j.asoc.2023.110114
202010.3390/app12042160,202110.1016/j.asoc.2023.110114
202310.3390/a17090419,202110.1016/j.asoc.2023.110114
202210.3390/a17090419,202110.1016/j.asoc.2023.110114
201710.3390/a11040042,202110.1016/j.asoc.2023.110114
201610.3390/a11040042,202110.1016/j.asoc.2023.110114
10.3390/app112210795,202110.1016/j.asoc.2023.110114
10.3390/APP11114834,202110.1016/j.asoc.2023.110114
10.3390/APP8081280,202110.1016/j.asoc.2023.110114
10.3390/app13095737,202110.1016/j.asoc.2023.110114
10.3390/a15090333,202110.1016/j.asoc.2023.110114
10.3390/app13116639,202110.1016/j.asoc.2023.110114
10.3390/app12042160,202110.1016/j.asoc.2023.110114
10.3390/a17090419,202110.1016/j.asoc.2023.110114
10.3390/a11040042,202110.1016/j.asoc.2023.110114
202010.3390/app112210795,202110.1016/j.icheatmasstransfer.2023.106985
201910.3390/app112210795,202110.1016/j.icheatmasstransfer.2023.106985
202010.3390/APP11114834,202110.1016/j.icheatmasstransfer.2023.106985
201910.3390/APP11114834,202110.1016/j.icheatmasstransfer.2023.106985
201710.3390/APP8081280,202110.1016/j.icheatmasstransfer.2023.106985
201610.3390/APP8081280,202110.1016/j.icheatmasstransfer.2023.106985
202210.3390/app13095737,202110.1016/j.icheatmasstransfer.2023.106985
202110.3390/app13095737,202110.1016/j.icheatmasstransfer.2023.106985
202110.3390/a15090333,202110.1016/j.icheatmasstransfer.2023.106985
202010.3390/a15090333,202110.1016/j.icheatmasstransfer.2023.106985
202210.3390/app13116639,202110.1016/j.icheatmasstransfer.2023.106985
202110.3390/app13116639,202110.1016/j.icheatmasstransfer.2023.106985
202110.3390/app12042160,202110.1016/j.icheatmasstransfer.2023.106985
202010.3390/app12042160,202110.1016/j.icheatmasstransfer.2023.106985
202310.3390/a17090419,202110.1016/j.icheatmasstransfer.2023.106985
202210.3390/a17090419,202110.1016/j.icheatmasstransfer.2023.106985
201710.3390/a11040042,202110.1016/j.icheatmasstransfer.2023.106985
201610.3390/a11040042,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/app112210795,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/APP11114834,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/APP8081280,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/app13095737,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/a15090333,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/app13116639,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/app12042160,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/a17090419,202110.1016/j.icheatmasstransfer.2023.106985
10.3390/a11040042,202110.1016/j.icheatmasstransfer.2023.106985
