Paper_DOI,Reviewer_ID,Decision,Comment
202310.3390/en17040925,77607690.0,0,Minor and unclear contribution.
202310.3390/en17040925,98091365.0,0,TNo novelty.
202310.3390/en17040925,47696138.0,1,Findings are novel.
202210.3390/en17040925,47553294.0,1,This paper makes a significant contribution.
202210.3390/en17040925,152379519.0,0,Bad writing quality
202210.3390/en17040925,30406393.0,0,The methodology has flaws.
202010.2196/41566,4573127.0,0,The methodology has flaws.
202010.2196/41566,3168502.0,1,Well-written and clear paper.
202010.2196/41566,4603454.0,0,The methodology has flaws.
201910.2196/41566,50117004.0,1,Well-written and clear paper.
201910.2196/41566,27048932.0,0,Minor and unclear contribution.
201910.2196/41566,13683514.0,1,Findings are novel.
202210.1109/ICCNS58795.2023.10193141,1879777.0,1,This paper makes a significant contribution.
202210.1109/ICCNS58795.2023.10193141,32260698.0,0,Bad writing quality
202210.1109/ICCNS58795.2023.10193141,1729475.0,1,This paper makes a significant contribution.
202110.1109/ICCNS58795.2023.10193141,2028813132.0,1,This paper makes a significant contribution.
202110.1109/ICCNS58795.2023.10193141,2108609706.0,1,Findings are novel.
202110.1109/ICCNS58795.2023.10193141,2053497568.0,1,This paper makes a significant contribution.
202010.1109/ICCNS58795.2023.10193141,2336230011.0,0,Minor and unclear contribution.
202010.1109/ICCNS58795.2023.10193141,47553294.0,1,Findings are novel.
202010.1109/ICCNS58795.2023.10193141,2208920.0,1,Well-written and clear paper.
201910.1109/ICCNS58795.2023.10193141,51443896.0,1,Good Experimental scheme.
201910.1109/ICCNS58795.2023.10193141,1722849.0,1,Findings are novel.
201910.1109/ICCNS58795.2023.10193141,2245244652.0,1,This paper makes a significant contribution.
202310.1021/acs.jpca.4c08170,40570523.0,1,Good Experimental scheme.
202310.1021/acs.jpca.4c08170,91862215.0,0,The methodology has flaws.
202310.1021/acs.jpca.4c08170,2056702295.0,1,Good Experimental scheme.
202210.1021/acs.jpca.4c08170,2065073027.0,0,Minor and unclear contribution.
202210.1021/acs.jpca.4c08170,2131526454.0,0,Bad writing quality
202210.1021/acs.jpca.4c08170,10230566.0,1,Well-written and clear paper.
202110.1155/2022/9248853,2269215557.0,1,Well-written and clear paper.
202110.1155/2022/9248853,13275744.0,1,Findings are novel.
202110.1155/2022/9248853,2182253077.0,0,The methodology has flaws.
202010.1155/2022/9248853,47702438.0,1,Findings are novel.
202010.1155/2022/9248853,2047215894.0,0,Bad writing quality
202010.1155/2022/9248853,145094332.0,0,Minor and unclear contribution.
198510.1109/TSMC.1986.289318,145200778.0,1,Well-written and clear paper.
198510.1109/TSMC.1986.289318,103591642.0,1,Good Experimental scheme.
198510.1109/TSMC.1986.289318,48385295.0,1,Good Experimental scheme.
198410.1109/TSMC.1986.289318,6660585.0,0,The methodology has flaws.
198410.1109/TSMC.1986.289318,108510470.0,1,Good Experimental scheme.
198410.1109/TSMC.1986.289318,151225015.0,1,Well-written and clear paper.
202210.1109/ICIET57285.2023.10220929,32545073.0,0,The methodology has flaws.
202210.1109/ICIET57285.2023.10220929,1398034341.0,1,Good Experimental scheme.
202210.1109/ICIET57285.2023.10220929,4183624.0,0,Bad writing quality
202110.1109/ICIET57285.2023.10220929,1398718924.0,0,TNo novelty.
202110.1109/ICIET57285.2023.10220929,50405470.0,0,Minor and unclear contribution.
202110.1109/ICIET57285.2023.10220929,144373543.0,1,Findings are novel.
202010.1109/ICIET57285.2023.10220929,152982726.0,0,Minor and unclear contribution.
202010.1109/ICIET57285.2023.10220929,86909698.0,0,The methodology has flaws.
202010.1109/ICIET57285.2023.10220929,31812702.0,1,Good Experimental scheme.
201910.1109/ICIET57285.2023.10220929,36065850.0,0,Minor and unclear contribution.
201910.1109/ICIET57285.2023.10220929,6464425.0,0,Bad writing quality
201910.1109/ICIET57285.2023.10220929,2157424131.0,1,This paper makes a significant contribution.
202210.48550/arXiv.2308.11721,145358173.0,0,Minor and unclear contribution.
202210.48550/arXiv.2308.11721,2148542963.0,0,The methodology has flaws.
202210.48550/arXiv.2308.11721,145727985.0,0,The methodology has flaws.
202110.48550/arXiv.2308.11721,1806175.0,1,Good Experimental scheme.
202110.48550/arXiv.2308.11721,2336724704.0,1,Well-written and clear paper.
202110.48550/arXiv.2308.11721,46389006.0,1,Well-written and clear paper.
202010.48550/arXiv.2308.11721,145096684.0,1,Well-written and clear paper.
202010.48550/arXiv.2308.11721,46261271.0,0,TNo novelty.
202010.48550/arXiv.2308.11721,5896780.0,0,Minor and unclear contribution.
201910.48550/arXiv.2308.11721,2296840329.0,1,This paper makes a significant contribution.
201910.48550/arXiv.2308.11721,2236304203.0,0,The methodology has flaws.
201910.48550/arXiv.2308.11721,9453120.0,0,Bad writing quality
202010.2139/ssrn.3935555,6154651.0,1,This paper makes a significant contribution.
202010.2139/ssrn.3935555,115544034.0,1,This paper makes a significant contribution.
202010.2139/ssrn.3935555,1448675762.0,1,Good Experimental scheme.
201910.2139/ssrn.3935555,5346715.0,0,TNo novelty.
201910.2139/ssrn.3935555,47533224.0,1,Well-written and clear paper.
201910.2139/ssrn.3935555,1710011.0,0,TNo novelty.
201410.1007/s10994-015-5496-x,2300776156.0,1,Findings are novel.
